Index	Date	Time	Readings (øF)	Type
284	10/6/2013	5:05:00 AM	34.2	
285	10/6/2013	5:40:00 AM	34.3	
286	10/6/2013	6:15:00 AM	34.1	
287	10/6/2013	6:50:00 AM	34.1	
288	10/6/2013	7:25:00 AM	34	
289	10/6/2013	8:00:00 AM	34.3	
290	10/6/2013	8:35:00 AM	34.4	
291	10/6/2013	9:10:00 AM	34.3	
292	10/6/2013	9:45:00 AM	34.1	
293	10/6/2013	10:20:00 AM	34	
294	10/6/2013	10:55:00 AM	34.2	
295	10/6/2013	11:30:00 AM	34.3	
296	10/6/2013	12:05:00 PM	34.3	
297	10/6/2013	12:40:00 PM	34.4	
298	10/6/2013	1:15:00 PM	34.6	
299	10/6/2013	1:50:00 PM	34.6	
300	10/6/2013	2:25:00 PM	34.6	
301	10/6/2013	3:00:00 PM	34.7	
302	10/6/2013	3:35:00 PM	34.8	
303	10/6/2013	4:10:00 PM	34.9	
304	10/6/2013	4:45:00 PM	35	
305	10/6/2013	5:20:00 PM	35.3	
306	10/6/2013	5:55:00 PM	35.3	
307	10/6/2013	6:30:00 PM	35.4	
308	10/6/2013	7:05:00 PM	35.2	
309	10/6/2013	7:40:00 PM	35.4	
310	10/6/2013	8:15:00 PM	35.4	
311	10/6/2013	8:50:00 PM	35.3	
312	10/6/2013	9:25:00 PM	35.4	
313	10/6/2013	10:00:00 PM	35.4	
314	10/6/2013	10:35:00 PM	35.3	
315	10/6/2013	11:10:00 PM	35.2	
316	10/6/2013	11:45:00 PM	35.3	
317	10/7/2013	12:20:00 AM	35.3	
318	10/7/2013	12:55:00 AM	35.3	
319	10/7/2013	1:30:00 AM	35.4	
320	10/7/2013	2:05:00 AM	35.5	
321	10/7/2013	2:40:00 AM	35.4	
322	10/7/2013	3:15:00 AM	35.5	
323	10/7/2013	3:50:00 AM	35.5	
324	10/7/2013	4:25:00 AM	35.6	
325	10/7/2013	5:00:00 AM	35.5	
326	10/7/2013	5:35:00 AM	35.5	
327	10/7/2013	6:10:00 AM	35.4	
328	10/7/2013	6:45:00 AM	35.4	
329	10/7/2013	7:20:00 AM	35.4	
330	10/7/2013	7:55:00 AM	35.3	
331	10/7/2013	8:30:00 AM	35.3	
332	10/7/2013	9:05:00 AM	35.4	
333	10/7/2013	9:40:00 AM	35.4	
334	10/7/2013	10:15:00 AM	35.5	
335	10/7/2013	10:50:00 AM	35.6	
336	10/7/2013	11:25:00 AM	35.6	
337	10/7/2013	12:00:00 PM	35.7	
338	10/7/2013	12:35:00 PM	35.8	
339	10/7/2013	1:10:00 PM	36	
340	10/7/2013	1:45:00 PM	36	
341	10/7/2013	2:20:00 PM	36.1	
342	10/7/2013	2:55:00 PM	36.3	
343	10/7/2013	3:30:00 PM	36.5	
344	10/7/2013	4:05:00 PM	36.5	
345	10/7/2013	4:40:00 PM	36.5	
